profile,tp_model,trade_id,reason
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0001,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0003,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0005,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0006,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0007,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0008,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0009,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0010,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0011,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0012,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0013,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0014,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0015,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0016,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0017,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0018,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0020,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0021,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0022,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0024,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0026,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0027,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0029,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0031,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0033,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0035,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0036,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,16M_FVG_BOUNDARY,trade_0037,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_VOLUME,8M_PRE_RETRACE_EXTREME,trade_0002,TP_SOURCE_MISSING
PROFILE_F_VOLUME,8M_PRE_RETRACE_EXTREME,trade_0011,TP_SOURCE_MISSING
PROFILE_F_VOLUME,8M_PRE_RETRACE_EXTREME,trade_0012,TP_SOURCE_MISSING
PROFILE_F_VOLUME,8M_PRE_RETRACE_EXTREME,trade_0014,TP_SOURCE_MISSING
PROFILE_F_VOLUME,8M_PRE_RETRACE_EXTREME,trade_0016,TP_SOURCE_MISSING
PROFILE_F_VOLUME,8M_PRE_RETRACE_EXTREME,trade_0017,TP_SOURCE_MISSING
PROFILE_F_VOLUME,8M_PRE_RETRACE_EXTREME,trade_0022,TP_SOURCE_MISSING
PROFILE_F_VOLUME,8M_PRE_RETRACE_EXTREME,trade_0026,TP_SOURCE_MISSING
PROFILE_F_VOLUME,8M_PRE_RETRACE_EXTREME,trade_0027,TP_SOURCE_MISSING
PROFILE_F_VOLUME,8M_PRE_RETRACE_EXTREME,trade_0028,TP_SOURCE_MISSING
PROFILE_F_VOLUME,8M_PRE_RETRACE_EXTREME,trade_0029,TP_SOURCE_MISSING
PROFILE_F_VOLUME,8M_PRE_RETRACE_EXTREME,trade_0037,TP_SOURCE_MISSING
PROFILE_F_BALANCED,16M_FVG_BOUNDARY,trade_0001,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_BALANCED,16M_FVG_BOUNDARY,trade_0003,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_BALANCED,16M_FVG_BOUNDARY,trade_0005,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_BALANCED,16M_FVG_BOUNDARY,trade_0006,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_BALANCED,16M_FVG_BOUNDARY,trade_0007,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_BALANCED,16M_FVG_BOUNDARY,trade_0008,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_BALANCED,16M_FVG_BOUNDARY,trade_0009,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_BALANCED,16M_FVG_BOUNDARY,trade_0010,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_BALANCED,16M_FVG_BOUNDARY,trade_0011,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_BALANCED,16M_FVG_BOUNDARY,trade_0015,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_BALANCED,16M_FVG_BOUNDARY,trade_0017,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_BALANCED,8M_PRE_RETRACE_EXTREME,trade_0002,TP_SOURCE_MISSING
PROFILE_F_BALANCED,8M_PRE_RETRACE_EXTREME,trade_0007,TP_SOURCE_MISSING
PROFILE_F_BALANCED,8M_PRE_RETRACE_EXTREME,trade_0010,TP_SOURCE_MISSING
PROFILE_F_BALANCED,8M_PRE_RETRACE_EXTREME,trade_0013,TP_SOURCE_MISSING
PROFILE_F_BALANCED,8M_PRE_RETRACE_EXTREME,trade_0017,TP_SOURCE_MISSING
PROFILE_F_SELECTIVE,16M_FVG_BOUNDARY,trade_0001,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_SELECTIVE,16M_FVG_BOUNDARY,trade_0003,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_SELECTIVE,16M_FVG_BOUNDARY,trade_0004,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_SELECTIVE,16M_FVG_BOUNDARY,trade_0005,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_SELECTIVE,16M_FVG_BOUNDARY,trade_0006,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_SELECTIVE,16M_FVG_BOUNDARY,trade_0010,TP_NOT_BELOW_BEARISH_ENTRY
PROFILE_F_SELECTIVE,8M_PRE_RETRACE_EXTREME,trade_0002,TP_SOURCE_MISSING
PROFILE_F_SELECTIVE,8M_PRE_RETRACE_EXTREME,trade_0003,TP_SOURCE_MISSING
PROFILE_F_SELECTIVE,8M_PRE_RETRACE_EXTREME,trade_0005,TP_SOURCE_MISSING
PROFILE_F_SELECTIVE,8M_PRE_RETRACE_EXTREME,trade_0008,TP_SOURCE_MISSING
